Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-09-30 11:47:05.005 +0100,"Running",0:00:00,0,0,0,"20160930_114705.005/LogFile.txt","","",0
2016-09-30 12:35:09.009 +0100,"Failure",0:00:00,1,0,0,"20160930_123509.009/LogFile.txt","","SenseTalk Compiler Exception -- in enter_employeedata:\nSyntax Error at line 97: Syntax Error - can't understand ""End"" at or near character 1746",0
