Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
calc_navigation_time,Success,5,3,2016-09-30 15:48:01 +0100,2016-09-30 16:41:16 +0100,0:01:04
Main,Success,14,5,2016-09-30 11:18:30 +0100,2016-10-04 13:59:12 +0100,0:01:56
enter_employeeData,Failure,1,1,2016-09-30 12:35:09 +0100,2016-09-30 12:35:09 +0100,0:00:00
